title,year,genre1,genre2,genre3,country,language,director,reviews_from_users,reviews_from_critics
Naa Mogudu Nanke Sontham,1989,12,,,8,7,Narayana Rao Dasari,,
Passage du milieu,2000,3,4,,7,5,Guy Deslauriers,4.0,
Pismo do Amerika,2000,3,,,8,7,Iglika Triffonova,13.0,2.0
Por la libre,2000,12,,,8,7,Juan Carlos de Llaca,6.0,1.0
Le pornographe,2001,3,,,7,5,Bertrand Bonello,14.0,30.0
Scorpion Thunderbolt,1988,10,16,,8,7,Godfrey Ho,13.0,9.0
"Booye kafoor, atre yas",2000,3,,,8,7,Bahman Farmanara,4.0,36.0
Thomas est amoureux,2000,12,3,7,8,5,Pierre-Paul Renders,19.0,25.0
Thug Life,2001,14,2,,4,7,Greg Carter,11.0,
Tinta roja,2000,2,3,,8,7,Francisco J. Lombardi,4.0,3.0
World Traveler,2001,3,,,8,1,Bart Freundlich,29.0,26.0
Ze soboty na nedeli,1931,3,,,8,7,Gustav Machatý,2.0,1.0
Les âmes fortes,2001,3,7,,7,5,Raoul Ruiz,10.0,4.0
The 13th Sign,2000,10,,,2,1,"Jonty Acton, Adam Mason",12.0,
Como el gato y el ratón,2002,12,3,,7,7,Rodrigo Triana,8.0,
Abuzer Kadayif,2000,19,3,12,8,7,Tunç Basaran,1.0,1.0
Acele koca araniyor,1975,12,7,,8,7,Muzaffer Aslan,,
Aci hayat,1962,3,7,,8,7,Metin Erksan,,
Açlik,1974,3,,,8,7,Bilge Olgaç,,
Alone,2002,10,9,16,2,1,Phil Claydon,23.0,9.0
Arabesk,1988,12,19,,8,7,Ertem Egilmez,4.0,
Asik Oldum,1985,12,7,,8,7,Ertem Egilmez,1.0,
Ask Filmlerinin Unutulmaz Yönetmeni,1990,12,3,,8,7,Yavuz Turgul,,1.0
Ates Parçasi,1971,7,,,8,7,Atif Yilmaz,,
Atesli çingene,1969,7,,,8,7,Metin Erksan,,
Bangkok Dangerous,2000,14,2,16,8,7,"Danny Pang, Oxide Chun Pang",48.0,45.0
Banker Bilo,1980,12,3,,8,7,Ertem Egilmez,1.0,
Baraj,1977,2,3,7,8,7,Orhan Aksoy,,1.0
Bicho de Sete Cabeças,2000,3,,,8,7,Laís Bodanzky,12.0,3.0
Birlesen yollar,1970,7,,,8,7,Yücel Çakmakli,,
Bodrum hakimi,1976,3,7,,8,7,Türkan Soray,,1.0
Brava Gente Brasileira,2000,3,8,,8,7,Lúcia Murat,3.0,1.0
